ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange
DE0005137004;QSC;Q.BEYOND AG NA O.N.;Technology;Communications Technology;Germany;XETRA + FRANKFURT 
NL0012169213;QIA;QIAGEN NV         EO -,01;Pharma & Healthcare;Biotechnology;Netherlands;XETRA + FRANKFURT 
DE000A1PHBB5;RSL2;R. STAHL AG NA O.N.;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE0007010803;RAA;RATIONAL AG;Industrial;Industrial Products & Services ;Germany;XETRA + FRANKFURT 
DE0007030009;RHM;RHEINMETALL AG;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0007042301;RHK;RHOEN-KLINIKUM O.N.;Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT 
DE000RYSE888;RY8;ROY ASSET HLDG INH O.N.;Industrial;Industrial, Diversified;China;XETRA + FRANKFURT 
LU0061462528;RRTL;RTL GROUP;Media;Broadcasting;Luxembourg;XETRA + FRANKFURT 
DE0007037129;RWE;RWE AG   INH O.N.;Utilities;Multi-Utilities;Germany;XETRA + FRANKFURT 
AT0000A0E9W5;SANT;S+T AG (Z.REG.MK.Z.)O.N.;Technology;Electronic Components & Hardware;Austria;XETRA + FRANKFURT 
DE000SAFH001;SFQ;SAF HOLLAND SE  INH EO 1;Industrial;Industrial Machinery;Luxembourg;XETRA + FRANKFURT 
DE0006202005;SZG;SALZGITTER AG O.N.;Basic Resources;Steel & Other Metals;Germany;XETRA + FRANKFURT 
DE0007164600;SAP;SAP SE O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE0007165607;SRT;SARTORIUS AG O.N.;Pharma & Healthcare ;Biotechnology;Germany;XETRA + FRANKFURT 
DE0007165631;SRT3;SARTORIUS AG VZO O.N.;Pharma & Healthcare ;Biotechnology;Germany;XETRA + FRANKFURT 
DE000SHA0159;SHA;SCHAEFFLER AG INH. VZO;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE000A12DM80;G24;SCOUT24 AG NA O.N.;Media;Advertising;Germany;XETRA + FRANKFURT 
DE0007276503;YSN;SECUNET SECURITY AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A2G8X31;SJJ;SERVICEWARE SE  INH O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE0007568578;F3C;SFC ENERGY AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0007235301;SGL;SGL CARBON SE O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
NL0012044747;SAE;SHOP APOTHEKE EUROPE INH.;Retail;Retail, Internet;Netherlands;XETRA + FRANKFURT 
DE0007236101;SIE;SIEMENS AG  NA O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE000ENER6Y0;ENR;SIEMENS ENERGY AG NA O.N.;Industrial;Industrial;Germany;XETRA + FRANKFURT 
DE000SHL1006;SHL;SIEMENS HEALTH.AG NA O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE000WAF3001;WAF;SILTRONIC AG NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE000A1681X5;SNG;SINGULUS TECHNOL. EO 1;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE0007231326;SIX2;SIXT SE ST O.N.;Transportation & Logistics;Transportation Services;Germany;XETRA + FRANKFURT 
DE0007231334;SIX3;SIXT SE VZO O.N.;Transportation & Logistics;Transportation Services;Germany;XETRA + FRANKFURT 
DE000A111338;AM3D;SLM SOLUTIONS GRP AG;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A0DJ6J9;S92;SMA SOLAR TECHNOL.AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0007203705;SHF;SNP SCHNEIDER-NEUREITHER O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE0005178008;SYT;SOFTING AG O.N.;Software;IT- Services;Germany;XETRA + FRANKFURT 
DE000A2GS401;SOW;SOFTWARE AG  NA O.N.;Software;Software;Germany;XETRA + FRANKFURT 
LU1066226637;STM;STABILUS SE INH. EO-,01;Industrial;Industrial Machinery;Luxembourg;XETRA + FRANKFURT 
NL0011375019;SNH;STEINHOFF INTERNATIONAL HLDG.EO-,50;Consumer Goods;Home Construction & Furnishings;Netherlands;XETRA + FRANKFURT 
DE000A2G9MZ9;S9I;STEMMER IMAGING AG INH ON;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000STRA555;SBS;STRATEC SE  NA O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE0007493991;SAX;STROEER SE + CO. KGAA;Media;Advertising;Germany;XETRA + FRANKFURT 
DE0007297004;SZU;SUEDZUCKER AG  O.N.;Food & Beverages;Food;Germany;XETRA + FRANKFURT 
DE000A1K0235;SMHN;SUESS MICROTEC SE NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE0005176903;SUR;SURTECO GROUP SE INH O.N.;Basic Resources;Forest & Paper Products;Germany;XETRA + FRANKFURT 
LU2333210958;SUSE5A;SUSE S.A.;Software;Software;Luxembourg;XETRA + FRANKFURT 
DE000SYM9999;SY1;SYMRISE AG INH. O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE000A2TSL71;SYAB;SYNLAB AG;Pharma & Healthcare;Health Care;Germany;XETRA + FRANKFURT 
DE0005104806;SYZ;SYZYGY AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE0008303504;TEG;TAG IMMOBILIEN AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0007446007;TTK;TAKKT AG O.N.;Retail;Retail, Catalog;Germany;XETRA + FRANKFURT 
DE000TLX1005;TLX;TALANX AG NA O.N.;Insurance;Re-Insurance;Germany;XETRA + FRANKFURT 
DE000A2YN900;TMV;TEAMVIEWER AG  INH O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE000A0XYGA7;TTR1;TECHNOTRANS SE NA O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A1J5RX9;O2D;TELEFONICA DEUTSCHLAND HOLDING NA;Telecommunication;Wireless Communication;Germany;XETRA + FRANKFURT 
DE000A289B07;TLIK;TELES AG INFORMATIONSTECHNOLOGIEN ON;Software;Internet;Germany;XETRA + FRANKFURT 
DE000A1YC996;PU11;THE SOCIAL CHAIN AG;Media;Advertising;Germany;XETRA + FRANKFURT 
DE0007500001;TKA;THYSSENKRUPP AG O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE000TRAT0N7;8TRA;TRATON SE   INH O.N.;Industrial;Heavy Machinery;Germany;XETRA + FRANKFURT 
DE000UNSE018;UN01;UNIPER SE  NA O.N.;Utilities;Multi-Utilities;Germany;XETRA + FRANKFURT 
DE0005489561;ULC;UNITED LABELS O.N.;Retail;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE000A0BVU28;OSP2;USU SOFTWARE AG;Software;Software;Germany;XETRA + FRANKFURT 
DE0005089031;UTDI;UTD.INTERNET AG NA;Software;Internet;Germany;XETRA + FRANKFURT 
DE000A3H3LL2;VTWR;VANTAGE TOWERS AG;Telecommunication;Telecommunication Services;Germany;XETRA + FRANKFURT 
DE0006636681;VQT;VA-Q-TEC AG NA O.N.;Industrial;Containers & Packaging;Germany;XETRA + FRANKFURT 
DE000A0TGJ55;VAR1;VARTA AG O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A0JL9W6;VBK;VERBIO VER.BIOENERGIE  ON;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0007657231;VIB3;VILLEROY + BOCH AG VZ;Consumer;Household Appliances & Housewares;Germany;XETRA + FRANKFURT 
DE0007846867;V6C;VISCOM AG O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A0BL849;V3V;VITA 34 AG NA O.N.;Pharma & Healthcare;Healthcare;Germany;XETRA + FRANKFURT 
DE000VTSC017;VTSC;VITESCO TECHNOLOGIES GROUP AG;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE0007664005;VOW;VOLKSWAGEN AG ST O.N.;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT 
DE0007664039;VOW3;VOLKSWAGEN AG VZO O.N.;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT 
DE000A2E4LE9;VBX;VOLTABOX AG  INH. O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE000A1ML7J1;VNA;VONOVIA SE NA O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0007667107;VOS;VOSSLOH AG O.N.;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
AU0000066086;VUL;VULCAN ENERGY RESOURCES LIMITED;Chemicals;Chemicals, Specialty;Australia;XETRA + FRANKFURT 
DE000WCH8881;WCH;WACKER CHEMIE        O.N.;Chemicals;Chemicals, Specialty;Germany;XETRA + FRANKFURT 
DE000WACK012;WAC;WACKER NEUSON SE NA O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE0007507501;WSU;WASHTEC AG O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE000A2N4H07;WEW;WESTWING GROUP  INH. O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000WNDL300;WDL;WINDELN.DE SE  INH O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE0008051004;WUW;WUESTENROT+WUERTTEMBERGISCHE AG O.N.;Banks;Mortgage Banks;Germany;XETRA + FRANKFURT 
DE0005932735;YOC;YOC AG O.N.;Telecommunication;Telecommunication Services;Germany;XETRA + FRANKFURT 
DE000ZAL1111;ZAL;ZALANDO SE;Retail;Retail,Internet;Germany;XETRA + FRANKFURT 
DE000ZEAL241;TIMA;ZEAL NETWORK SE NA O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A3H3L44;2INV;2INVEST AG  NA O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
LU2380748603;SPV2�;468 SPAC II SE;Financial Services;Private Equity & Venture Capital;Luxembourg;XETRA + FRANKFURT 
DE000A11QW68;HRPK;7C SOLARPARKEN AG  O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0007228009;AAA;A.A.A. AG ALLGEMEINE ANLAGEVERWALTUNG;Financial Services;Real Estate;Germany;FRANKFURT
DE0006492903;LUM;A.I.S. AG;Industrial;Renewable Energies;Germany;FRANKFURT
DE000A1TNNN5;ACWN;A.S.CREATION TAPETEN NA;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE000A3H2101;AAQ1;AAP IMPLANTATE AG;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT 
DE0005009740;AHH;AHLERS AG NA O.N.;Consumer;Clothing & Footwear;Germany;FRANKFURT
GB00B128C026;AB1;AIR BERLIN PLC    EO -,25;Transportation & Logistics;Airlines;Great Britain;FRANKFURT
DE0006209901;ABA;ALBA SE O.N.;Industrial;Industrial Products & Services;Germany;FRANKFURT
DE0006569403;ALG;ALBIS LEASING AG O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A2GS633;AEIN;ALLGEIER SE  NA O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A2LQUJ6;AMA1;ALTECH ADVANCED MATERIALS NA O.N.;Basic Resources;Forest & Paper Products;Germany;FRANKFURT
DE0001262152;DTD2;B+S BANKSYSTEME AG O.N.;Software;Internet;Germany;XETRA + FRANKFURT 
DE0005201602;BEZ;BERENTZEN-GRUPPE AG;Food & Beverages;Beverages;Germany;XETRA + FRANKFURT 
DE0005229504;BIJ;BIJOU BRIGITTE O.N.;Retail ;Retail, Specialty;Germany;XETRA + FRANKFURT 
DE0008618737;BPE;BP PLC (Dt. Zert.);Basic Resources;Oil & Gas;Germany;FRANKFURT
DE000HNC2059;RTML;CAMERIT AG;Financial Services;Diversified Financial;Germany;FRANKFURT
PLCIECH00018;CHX;CIECH S.A. ZY 5;Chemicals;Chemicals, Specialty;Polen;FRANKFURT
DE000A3E5C08;CNWK;CO.DON AG   INH. O.N.;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
LU0251710041;O5G;CPI PROPERTY GRP   EO-,10;Financial Services;Real Estate;Luxembourg;XETRA + FRANKFURT 
DE000A1YDDM9;333;DECHENG TECHNOLOGY AG;Chemicals;Chemicals, Specialty;Germany;FRANKFURT
DE000A0BVVK7;HEMP;DEUTSCHE CANNABIS AG   O.N.;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT 
DE0008055021;DRE2;DEUTSCHE REAL ESTATE AG O.N.;Financial Services;Real Estate;Germany;FRANKFURT
DE000A0HN5C6;DWNI;DEUTSCHE WOHNEN SE INH;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A2AA204;DFTK;DF DEUTSCHE FORFAIT AG  NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE0005580005;DIE;DIERIG HOLDING AG O.N.;Consumer;Clothing & Footwear ;Germany;XETRA + FRANKFURT 
DE0005658009;EIS;EISEN- UND HUETTENWERKE;Basic Resources;Steel & Other Metals;Germany;FRANKFURT
DE000A0WMJQ4;ELN;ELANIX BIOTECHNOLOGIES AG;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT
DE000A255G02;H2O;ENAPTER AG INH O.N. ;Industrial;Renewable Energies;Germany;FRANKFURT
DE0005220008;EBK;ENBW ENERGIE BADEN-WUERTTEMBERG ON;Utilities;Electricity;Germany;XETRA + FRANKFURT 
DE0005313506;EKT;ENERGIEKONTOR O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0007551400;USE;EROTIK-ABWICKLUNGSGESELLSCHAFT INH EO 1;Retail;Retail, Catalog;Germany;FRANKFURT
DE000A0V9L94;BNT1;EYEMAXX REAL ESTATE AG;Financial Services ;Real Estate;Germany;XETRA + FRANKFURT 
DE000A0MW975;FVI;FAIR VALUE REIT-AG INH.ON;Financial Services;Real Estate;Germany;FRANKFURT
DE000A1YC913;FC9;FCR IMMOBILIEN AG NA O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0005775803;FRS;FORIS AG;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
ATFREQUENT09;FQT;FREQUENTIS AG;Technology;Communications Technology;Austria;XETRA + FRANKFURT 
DE0005070908;FNG;FRITZ NOLS AG O.N.;Financial Services;Securities Brokers;Germany;FRANKFURT
DE0006201106;CEA;FRIWO AG O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0007760001;WWG;GELSENWASSER AG;Utilities;Multi-Utilities;Germany;FRANKFURT
DE000A0L1NQ8;TVD6;German Values Property Group AG;Retail;Retail, Internet;Germany;FRANKFURT
DE000A255G36;GWI2;GERRY WEBER INTERNATIONAL O.N.;Consumer;Clothing & Footwear;Germany;XETRA + FRANKFURT 
LU2358378979;GFJ1;GFJ ESG Acquisition I SE;Financial Services;Private Equity & Venture Capital;Luxembourg;XETRA + FRANKFURT 
DE000GSW1111;GIB;GSW IMMOBILIEN AG;Financial Services;Real Estate;Germany;FRANKFURT
DE000A0JKHG0;G7B;GWB IMMOBILIEN AG;Financial Services;Real Estate;Germany;FRANKFURT
DE000A0KF6M8;H9Y;HANSEYACHTS O.N.;Industrial;Heavy Machinery;Germany;XETRA + FRANKFURT 
DE000A254294;IPOK;HEIDELBERGER BETEILIGUNGSHOLDING  O.N.;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT
LU2290523658;LRS1;HOMETOGO SE;Financial Services;Private Equity & Venture Capital;Luxembourg;XETRA + FRANKFURT 
DE0006097108;IFS;INFAS HOLDING AG  O.N.;Industrial ;Industrial Products & Services;Germany;FRANKFURT
DE0006223605;ITN;INTERTAINMENT AG INH O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
CH0451424300;IQL;IQ INTERNATIONAL AG         SF-,01;Automobile;Auto Parts & Equipment;Switzerland;XETRA + FRANKFURT 
DE000A0JL461;I7N;ITN NANOVATION;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT 
DE0006578008;KWG;KHD HUMBOLDT WEDAG O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT 
DE000A1X3WW8;HETA;KHD HUMBOLDT WEDAG VV NA O.N.;Basic Resources;Forest & Paper Products;Germany;FRANKFURT
DE0007857476;KA8;KLASSIK RADIO AG NA O.N.;Media;Broadcasting ;Germany;XETRA + FRANKFURT 
DE000A0KFUJ5;K1R;KROMI LOGISTIK  INH. O.N.;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE0006292006;KSB;KSB SE+CO.KGAA  ST O.N.;Industrial;Industrial Machinery ;Germany;XETRA + FRANKFURT 
DE0006292030;KSB3;KSB SE+CO.KGAA VZO O.N.;Industrial;Industrial Machinery ;Germany;XETRA + FRANKFURT 
DE000A2QRHL6;A2QRHL;Linus Digital Finance AG;Financial Services;Diversified Financial;Germany;FRANKFURT
DE0005754402;LSX;LS TELCOM AG;Telecommunication;Telecommunication Services ;Germany;XETRA + FRANKFURT 
DE0006553464;MNV6;MAINOVA AG O.N.;Utilities;Multi-Utilities;Germany;FRANKFURT
DE000A2N4944;MFL2;MARUDAI FOOD DZ/1 O.N.;Food & Beverages;Food;Germany;FRANKFURT
DE0006052830;MBH3;MASCHINENFABRIK BERTHOLD HERMLE O.N. VZO;Industrial;Industrial Machinery ;Germany;FRANKFURT
DE0006044001;MAK;MATERNUS-KLINIKEN AG O.N.;Pharma & Healthcare;Health Care ;Germany;XETRA + FRANKFURT 
DE0006605009;MDN;MEDION AG O.N.;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A0LBFE4;M3V;MEVIS MEDICAL SOLUTIONS NA O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE000A2LQ728;ML2;MING LE SPORTS AG;Consumer;Clothing & Footwear;Germany;FRANKFURT
DE0005855183;MSAG;MS INDUSTRIE AG;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A254203;MPSC;MUEHL PRODUCT + SERVICE  INH O.N;Consumer;Home Construction & Furnishings;Germany;FRANKFURT
DE0006214687;MLL;MUELLER-DIE LILA LOGISTIK SE;Transportation + Logistics ;Logistics;Germany;XETRA + FRANKFURT 
DE0005021307;NSN;NESCHEN AG O.N.;Industrial;Industrial Products & Services;Germany;FRANKFURT
DE000A1K03W5;99SC;NEXR TECHNOLOGIES SE  INH O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
DE000A12UP37;NC5A;NORCOM INFORMATION TECHNOLOGY INH ON;Software;Internet;Germany;XETRA + FRANKFURT 
DE0006775505;NWX;NORDWEST HANDEL AG;Industrial;Industrial Products & Services;Germany;FRANKFURT
SE0000722365;OMAX;VIVESTO AB  SK-,10;Pharma & Healthcare;Pharmaceuticals;Sweden;FRANKFURT
LU2334363566;OTA;OboTech Acquisition SE;Financial Services;Private Equity & Venture Capital;Luxembourg;XETRA + FRANKFURT 
DE0008647488;OMR;OMRON CORP. DZ/1 O.N.;Technology;Electronic Components & Hardware;Japan;FRANKFURT
CH0022237009;O5H;OPENLIMIT HOLDING INH. SF-30;Software;Software;Switzerland;XETRA + FRANKFURT 
DE0005228779;OBS;ORBIS SE O.N.;Industrial ;Industrial Products & Services;Germany;XETRA + FRANKFURT 
DE000A1R1C81;ICP;PANAMAX AG;Technology;Communications Technology;Germany;XETRA + FRANKFURT 
DE000A0AFGF3;02P;PEARL GOLD AG;Financial Services ;Private Equity & Venture Capital ;Germany;FRANKFURT
DE000A2YN777;EMH;PFERDEWETTEN.DE AG NA ON;Consumer ;Leisure ;Germany;XETRA + FRANKFURT 
DE000A1A6WB2;HBD1;PHILOMAXCAP AG INH O.N.;Media;Movies & Entertainment;Germany;FRANKFURT
AT0000KTMI02;PMAG;PIERER MOBILITY AG;Automobile;Automobile Manufacturers;Germany;XETRA 
DE0006925001;PIT;PITTLER MASCHINENFABRIK AG;Industrial;Industrial Machinery;Germany;FRANKFURT
DE000PAH0038;PAH3;PORSCHE AUTOMOBIL HOLDING VZO;Automobile;Automobile Manufacturers;Germany;XETRA + FRANKFURT 
DE000A161N22;TUF;RAVENO CAPITAL INH O.N.;Construction;Construction & Engineering;Germany;XETRA + FRANKFURT 
DE000A1E89S5;EXJ;READCREST CAPITAL AG O.N.;Media;Advertising;Germany;FRANKFURT
DE0007008906;RTC;REALTECH AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A3E5E55;HP3;RINGMETALL SE;Industrial;Containers & Packaging;Germany;XETRA + FRANKFURT 
DE0007229007;SWA;SCHLOSS WACHENHEIM AG O.N;Food & Beverages;Beverages;Germany;XETRA + FRANKFURT 
DE0007216707;SCM;SCHUMAG AG O.N.;Industrial;Industrial Machinery ;Germany;FRANKFURT
DE0005156236;SCE;SCHWEIZER ELECTRONIC NA O.N.;Technology;Semiconductors;Germany;XETRA + FRANKFURT 
DE000A3E5CP0;SIM;SIMONA AG O.N.;Chemicals;Chemicals, Commodity;Germany;FRANKFURT
DE000SGU8886;SGU;SINO-GERMAN UNITED AG O.N.;Industrial;Industrial, Diversified;Germany;FRANKFURT
DE000A2E3772;BTBB;SLEEPZ AG  INH. O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A1PHEL8;8S9;SNOWBIRD AG;Retail;Retail, Specialty;Germany;FRANKFURT
DE0006614712;SFX;SOLAR-FABRIK AG O.N.;Industrial;Renewable Energies;Germany;FRANKFURT
DE0007279507;SPM;SPLENDID MEDIEN AG O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
DE0005490601;SBE;SPOBAG O.N.;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT
DE000A1EMG56;WIG1;SPORTTOTAL AG  INH. O.N.;Media;Advertising;Germany;XETRA + FRANKFURT 
DE0007274136;STO3;STO SE+CO.KGAA VZO O.N.;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE000A1TNU68;SF3;STS GROUP AG  O.N.;Automobile;Auto Parts & Equipment;Germany;XETRA + FRANKFURT 
DE0007454209;TCU;TC UNTERHALTUNGSELEKTRONIK;Consumer;Consumer Electronics;Germany;FRANKFURT
DE0007458804;TIS;TISCON AG O.N.;Software;IT-Services;Germany;FRANKFURT
CH0557519201;ERO1;TMC CONTENT GROUP AG INH.SF1;Media;Movies & Entertainment;Switzerland;XETRA + FRANKFURT 
LU2333563281;SPAC;TONIES SE;Financial Services;Private Equity & Venture Capital;Luxembourg;XETRA + FRANKFURT 
DE0007501009;TTO;TTL BETEILIGUNGS- UND GRUNDBESITZ AG INH ON;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
IT0005239360;CRIN;UNICREDIT;Banks;Credit Banks;Italy;XETRA + FRANKFURT 
DE0005509129;UPR;UNIPROF REAL ESTATE HOLDING O.N.;Financial Services;Real Estate;Germany;FRANKFURT
DE0007551509;UZU;UZIN UTZ AG O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT 
DE000A1RFHN7;VMR1;VALUE MANAGEMENT&RESEARCH  INH.O.N.;Financial Services;Diversified Financial;Germany;FRANKFURT
DE000A0WMNK9;VAO;VAPIANO SE  INH. O.N.;Consumer;Leasure;Germany;XETRA + FRANKFURT 
DE0006851603;OLG;VERALLIA DEUTSCHLAND AG  O.N.;Consumer;Household Appliances & Housewares;Germany;FRANKFURT
DE000A1E8G88;VG0K;VIVANCO GRUPPE AG;Technology;Electronic Components & Hardware;Germany;FRANKFURT
DE0007016008;MSH;WASGAU PRODUKTIONS & HANDELS NA O.N.;Food & Beverages;Food;Germany;FRANKFURT
DE000A1X3X33;WCMK;WCM BETEILIGUNGS- UND GRUNDBESITZ AG  O.N.;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE0008103102;RKB;WEBAC HOLDING AG;Financial Services;Private Equity & Venture Capital;Germany;FRANKFURT
DE0007775207;WUG;Westag AG;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE0007775231;WUG3;Westag AG;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE000A2TSU21;WBAH;WILD BUNCH AG O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
DE0007847303;YMO;YMOS AG O.N.;Financial Services;Real Estate;Germany;FRANKFURT
DE000A161N14;RTV;YOUR FAMILY ENTERTAINMENT AG NA;Media;Movies & Entertainment;Germany;FRANKFURT
DE000ZDWT018;ZEF;ZHONGDE WASTE TECHNOLOGY;Industrial;Industrial Products & Services;China;XETRA + FRANKFURT 
DE000A0HL8N9;2GB;2G ENERGY AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE000A3CMGM5;APPH;Apontis Pharma AG;Pharma & Healthcare;Pharmaceuticals;Germany;XETRA + FRANKFURT 
DE0005209589;A6T;ARTEC TECHNOLOGIES O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE000A2BPP88;BSS;BETA SYSTEMS SOFTWARE INH.O.N.;Software;Software;Germany;FRANKFURT
DE000A0JM2M1;B7E;BLUE CAP             O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE000A0HHJR3;CLIQ;CLIQ DIGITAL AG  O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A2E4SV8;CYR;CYAN AG O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE0007830572;4DS;DALDRUP+SOEHNE AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE000A0JC8S7;D6H;DATAGROUP SE  INH. O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A0V9LA7;DAR;DATRON AG INH.O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT 
DE000A0MZ4B0;DLX;DELIGNIT AG      INH.O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT 
DE0005533400;DGR;DEUTSCHE GRUNDSTUECKS AUKTIONEN AG;Financial Services;Real Estate;Germany;XETRA + FRANKFURT 
DE000A0XYG76;DR0;DEUTSCHE ROHSTOFF AG NA O.N.;Basic Resources;Mining;Germany;XETRA + FRANKFURT 
DE0005538607;DIS;DVS TECHNOLOGY AG INH ON;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT 
DE0005649503;EDL;EDEL SE+CO.KGAA INH O.N.;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT 
DE0005494165;EQS;EQS GROUP AG NA O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT 
DE000A161077;HXCK;ERNST RUSS AG NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A0LR9G9;EXL;EXASOL AG  NA O.N.;Software;Software;Germany;XETRA + FRANKFURT 
DE000A2QEFA1;FSNT ;FASHIONETTE AG;Retail;Retail, Internet;Germany;XETRA + FRANKFURT 
DE000A1EWVY8;FYB;FORMYCON AG;Pharma & Healthcare;Biotechnology;Germany;XETRA + FRANKFURT 
DE000A0L1NN5;HPBK;HELIAD EQUITY PARTNERS NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT 
DE000A0EQ578;H5E;HELMA EIGENHEIMBAU AG;Consumer;Home Construction & Furnishings;Germany;XETRA + FRANKFURT 
DE000A0XYHT5;IBU;IBU-TEC ADVANCED MATERIALS INH.ON;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT 
